wellID, constituentID, mdl, pql, observed, sampleDate
21,0,NULL,NULL,<0.001015*,2021-05-19
21,0,NULL,NULL,<0.00102*,2021-10-26
21,0,NULL,NULL,<0.00102*,2022-05-23
22,0,NULL,NULL,n/a,2020-06-17
22,0,NULL,NULL,<0.003*,2020-09-01
22,0,NULL,NULL,<0.001015*,2021-05-19
22,0,NULL,NULL,<0.00102*,2021-11-01
22,0,NULL,NULL,<0.00102*,2022-05-24
23,0,NULL,NULL,0.00117(J),2019-07-31
23,0,NULL,NULL,n/a,2019-07-31
23,0,NULL,NULL,<0.003*,2019-10-01
23,0,NULL,NULL,n/a,2020-05-12
23,0,NULL,NULL,<0.003*,2020-09-01
23,0,NULL,NULL,<0.001015*,2021-05-25
23,0,NULL,NULL,<0.00102*,2021-10-26
23,0,NULL,NULL,<0.00102*,2022-05-24
24,0,NULL,NULL,0.000964(J),2019-07-31
24,0,NULL,NULL,n/a,2019-07-31
24,0,NULL,NULL,<0.003*,2019-10-01
24,0,NULL,NULL,<0.003*,2020-04-01
24,0,NULL,NULL,<0.003*,2020-09-01
24,0,NULL,NULL,<0.001015*,2021-05-24
24,0,NULL,NULL,<0.00102*,2021-10-26
24,0,NULL,NULL,<0.00102*,2022-05-25
25,0,NULL,NULL,n/a,2020-06-16
25,0,NULL,NULL,<0.003*,2020-09-01
25,0,NULL,NULL,<0.001015*,2021-05-17
25,0,NULL,NULL,<0.00102*,2021-10-26
25,0,NULL,NULL,<0.00102*,2022-05-25
26,0,NULL,NULL,0.00116(J),2019-01-08
26,0,NULL,NULL,<0.003*,2019-10-02
26,0,NULL,NULL,<0.003*,2020-03-31
26,0,NULL,NULL,<0.003*,2020-09-02
26,0,NULL,NULL,<0.001015*,2021-05-25
26,0,NULL,NULL,<0.00102*,2021-10-26
26,0,NULL,NULL,<0.00102*,2022-05-24
27,0,NULL,NULL,n/a,2020-06-17
27,0,NULL,NULL,<0.003*,2020-09-02
27,0,NULL,NULL,<0.001015*,2021-05-24
27,0,NULL,NULL,<0.00102*,2021-11-02
27,0,NULL,NULL,<0.00102*,2022-05-25
28,0,NULL,NULL,n/a,2020-06-17
28,0,NULL,NULL,<0.003*,2020-09-02
28,0,NULL,NULL,<0.001015*,2021-05-24
28,0,NULL,NULL,<0.00102*,2021-11-02
28,0,NULL,NULL,<0.00102*,2022-05-25
29,0,NULL,NULL,<0.003,2016-03-02
29,0,NULL,NULL,<0.003,2016-04-19
29,0,NULL,NULL,0.000606(J),2016-06-07
29,0,NULL,NULL,<0.003,2016-08-31
29,0,NULL,NULL,<0.003,2016-10-19
29,0,NULL,NULL,0.000637(J),2017-01-31
29,0,NULL,NULL,n/a,2017-03-21
29,0,NULL,NULL,<0.003,2017-05-02
29,0,NULL,NULL,<0.003,2017-06-06
29,0,NULL,NULL,n/a,2017-09-12
29,0,NULL,NULL,<0.003*,2018-01-24
29,0,NULL,NULL,<0.003*,2018-05-01
29,0,NULL,NULL,n/a,2018-08-28
29,0,NULL,NULL,<0.003*,2018-11-27
29,0,NULL,NULL,<0.003*,2019-05-29
29,0,NULL,NULL,<0.003*,2019-10-01
29,0,NULL,NULL,<0.003*,2020-03-31
29,0,NULL,NULL,<0.003*,2020-09-01
29,0,NULL,NULL,<0.001015*,2021-05-18
29,0,NULL,NULL,<0.00102*,2021-11-01
29,0,NULL,NULL,<0.00102*,2022-05-25
30,0,NULL,NULL,<0.003,2016-03-01
30,0,NULL,NULL,<0.003,2016-04-19
30,0,NULL,NULL,0.000869(J),2016-06-07
30,0,NULL,NULL,<0.003,2016-08-30
30,0,NULL,NULL,<0.003,2016-10-19
30,0,NULL,NULL,0.00086(J),2017-01-31
30,0,NULL,NULL,n/a,2017-03-21
30,0,NULL,NULL,<0.003,2017-05-02
30,0,NULL,NULL,<0.003,2017-06-06
30,0,NULL,NULL,n/a,2017-09-12
30,0,NULL,NULL,<0.003*,2018-01-24
30,0,NULL,NULL,<0.003*,2018-05-01
30,0,NULL,NULL,n/a,2018-08-28
30,0,NULL,NULL,<0.003*,2018-11-27
30,0,NULL,NULL,<0.003*,2019-05-29
30,0,NULL,NULL,<0.003*,2019-10-01
30,0,NULL,NULL,<0.003*,2020-03-31
30,0,NULL,NULL,<0.003*,2020-09-01
30,0,NULL,NULL,<0.001015*,2021-05-18
30,0,NULL,NULL,<0.00102*,2021-11-01
30,0,NULL,NULL,<0.00102*,2022-05-25
31,0,NULL,NULL,<0.003,2016-03-01
31,0,NULL,NULL,<0.003,2016-04-20
31,0,NULL,NULL,<0.003,2016-06-07
31,0,NULL,NULL,<0.003,2016-08-30
31,0,NULL,NULL,<0.003,2016-10-18
31,0,NULL,NULL,0.000765(J),2017-01-31
31,0,NULL,NULL,n/a,2017-03-22
31,0,NULL,NULL,<0.003,2017-05-03
31,0,NULL,NULL,<0.003,2017-06-07
31,0,NULL,NULL,n/a,2017-09-14
31,0,NULL,NULL,<0.003*,2018-01-24
31,0,NULL,NULL,<0.003*,2018-05-02
31,0,NULL,NULL,n/a,2018-08-29
31,0,NULL,NULL,<0.003*,2018-11-27
31,0,NULL,NULL,<0.003*,2019-05-29
31,0,NULL,NULL,<0.003*,2019-10-01
31,0,NULL,NULL,<0.003*,2020-03-31
31,0,NULL,NULL,<0.003*,2020-09-01
31,0,NULL,NULL,<0.00102*,2021-11-02
31,0,NULL,NULL,<0.00102*,2022-05-25
32,0,NULL,NULL,0.00207(J),2019-01-08
32,0,NULL,NULL,<0.003*,2019-10-02
32,0,NULL,NULL,<0.003*,2020-03-31
32,0,NULL,NULL,<0.003*,2020-09-01
32,0,NULL,NULL,<0.00102*,2021-11-02
32,0,NULL,NULL,<0.00102*,2022-05-25
33,0,NULL,NULL,<0.003,2016-03-01
33,0,NULL,NULL,<0.003,2016-04-19
33,0,NULL,NULL,<0.003,2016-06-07
33,0,NULL,NULL,<0.003,2016-08-30
33,0,NULL,NULL,<0.003,2016-10-19
33,0,NULL,NULL,0.000852(J),2017-01-31
33,0,NULL,NULL,n/a,2017-03-22
33,0,NULL,NULL,<0.003,2017-05-03
33,0,NULL,NULL,<0.003,2017-06-07
33,0,NULL,NULL,n/a,2017-09-14
33,0,NULL,NULL,<0.003*,2018-01-24
33,0,NULL,NULL,<0.003*,2018-05-02
33,0,NULL,NULL,n/a,2018-08-29
33,0,NULL,NULL,<0.003*,2018-11-28
33,0,NULL,NULL,<0.003*,2019-05-29
33,0,NULL,NULL,<0.003*,2019-10-01
33,0,NULL,NULL,<0.003*,2020-03-31
33,0,NULL,NULL,<0.003*,2020-09-02
33,0,NULL,NULL,<0.001015*,2021-05-17
33,0,NULL,NULL,<0.00102*,2021-11-02
33,0,NULL,NULL,<0.00102*,2022-05-25
34,0,NULL,NULL,<0.003,2016-03-01
34,0,NULL,NULL,<0.003,2016-04-20
34,0,NULL,NULL,<0.003,2016-06-07
